Symbol
AAPL
ABBV
ABT
ACN
ADBE
ADI
ADM
ADP
ADSK
AEP
AES
AFL
AIG
AKAM
ALB
ALGN
ALLE
ALL
AMAT
AMGN
AMP
AMT
AMZN
ANET
ANSS
AON
AOS
APA
APD
APH
ARE
ATO
ATVI
AVB
AVGO
AVY
AXP
AZO
BA
BAC
BAX
BBY
BDX
BEN
BIIB
BK
BLK
BLL
BMY
BRK.B
BSX
BWA
C
CAG
CAH
CAT
CBRE
CCI
CCL
CDNS
CE
CF
CFV
CFG
CHD
CHRW
CHTR
CI
CINF
CL
CLX
CMA
CMCSA
CME
CMG
CMI
CMS
CNC
CNP
COF
COG
COO
COP
COST
CPB
CPRT
CRM
CSCO
CSX
CTAS
CTL
CTSH
CTVA
CVS
CVX
DHI
DHR
DIS
DISCA
DISH
DLR
DLTR
DOV
DOW
DRE
DRI
DUK
DVA
DVN
DXC
EA
EBAY
ECL
ED
EFX
EIX
EL
EMN
ETN
ETR
EW
EXC
EXPD
EXPE
EXR
F
FAST
FB
FBHS
FDX
FE
FFIV
FIS
FISV
FITB
FLIR
FLS
FLT
FOXA
FOX
FRC
FTI
FTNT
FTV
GD
GE
GILD
GIS
GL
GLW
GM
GOOG
GOOGL
GPC
GPN
GPS
GRMN
GS
GWW
HAL
HAS
HBAN
HCA
HD
HES
HIG
HII
HLT
HOLX
HON
HPQ
HRL
HSY
HUM
IBM
ICE
IDXX
ILMN
INCY
INTC
INTU
IP
IPG
IPGP
IQV
IR
IRM
ISRG
IT
ITW
IVZ
JCI
JKHY
JNJ
JPM
JWN
K
KEY
KEYS
KHC
KIM
KLAC
KMB
KMI
KMX
KO
KR
KSS
L
LB
LHX
LIN
LKQ
LLY
LMT
LNC
LNT
LOW
LRCX
LULU
LUV
LYB
M
MA
MAA
MAB
MAT
MCD
MCHP
MCK
MCO
MDLZ
MDT
